,bakery,brewery,tannery,wine press,oil press,ironworks,velvet,wool cloth,linen
Barrowton,30,181,208,222,398,226,630,140,-82
White Harbor,126,156,199,76,270,200,589,-50,54
Sisterton,-30,114,259,-126,174,128,561,10,-86
Lordsport,48,139,130,220,424,182,614,-4,156
Gulltown,102,157,157,60,-424,164,-53,42,64
Fairmarket,42,167,394,214,288,342,-395,246,72
Saltpans,18,94,310,-12,346,278,638,0,-108
Maidenpool,24,115,118,160,90,180,553,66,56
Kayce,42,215,229,-218,0,100,613,88,72
Lannisport,108,151,391,28,382,446,621,62,114
Stoney Sept,36,165,226,136,294,204,584,56,92
Duskendale,-12,160,37,134,40,228,492,-66,72
King’s Landing,-132,106,76,76,-48,210,438,62,90
Hull,54,149,250,-106,26,150,459,182,96
Weeping Town,186,217,379,-64,396,358,275,334,70
Tumbleton,18,173,286,70,90,62,563,116,-88
Ashford,24,117,172,254,296,86,591,56,124
Old Town,132,150,322,102,110,296,431,100,116
The Arbor,78,130,217,-144,114,128,154,108,98
Planky Town,138,198,316,64,332,354,573,180,72
Sunspear,-6,118,127,-20,246,96,556,-30,96
